,CTYNAME,age_grp,N0,V0_1,V0_2,V0_3,V0_4,S0_1,S0_2,S0_3,S0_4,R0,theta_1,theta_2,theta_3,theta_4
190,Donley,0_4,158,154,130,154,154,4,28,4,4,0,0,0,0,0
191,Donley,20,2375,2312,1955,2314,2315,63,420,61,60,0,0,0,0,0
192,Donley,5_19,681,427,362,428,428,254,319,253,253,0,0,0,0,0
193,Duval,0_4,664,658,559,647,648,6,105,17,16,0,0,0,0,0
194,Duval,20,6848,6790,5763,6672,6674,58,1085,176,174,0,0,0,0,0
195,Duval,5_19,2092,1639,1391,1611,1612,453,701,481,480,0,0,0,0,0
196,Eastland,0_4,1058,1023,865,1031,1032,35,193,27,26,0,1,0,1,1
197,Eastland,20,13477,13036,11014,13131,13134,441,2463,346,343,0,0,0,0,0
198,Eastland,5_19,3502,2469,2086,2485,2487,1033,1416,1017,1015,0,0,0,0,0
199,Ector,0_4,14192,13912,11783,13828,13843,280,2409,364,349,0,7,6,8,8
200,Ector,20,109505,107342,90917,106696,106722,2163,18588,2809,2783,0,0,0,0,0
201,Ector,5_19,40797,32827,27804,32630,32659,7970,12993,8167,8138,0,0,0,0,0
202,Edwards,0_4,84,82,70,82,82,2,14,2,2,0,0,0,0,0
203,Edwards,20,1068,1044,884,1041,1041,24,184,27,27,0,0,0,0,0
204,Edwards,5_19,241,190,161,189,189,51,80,52,52,0,0,0,0,0
205,El Paso,0_4,55654,54833,46485,54227,54287,821,9169,1427,1367,0,29,25,28,28
206,El Paso,20,620788,611626,518508,604865,605020,9162,102280,15923,15768,0,0,0,0,0
207,El Paso,5_19,193438,152316,129129,150674,150794,41122,64309,42764,42644,0,0,0,0,0
208,Ellis,0_4,14372,13894,11738,14003,14019,478,2634,369,353,0,8,6,8,8
209,Ellis,20,158310,153041,129294,154249,154280,5269,29016,4061,4030,0,0,0,0,0
210,Ellis,5_19,50147,39323,33227,39632,39660,10824,16920,10515,10487,0,0,0,0,0
211,Erath,0_4,2365,2302,1947,2304,2307,63,418,61,58,0,1,1,1,1
